first_name,last_name,email,major,year,on_campus,group_id
Nanette,Aronovitz,naronovitz0@state.tx.us,Theatre,5,true,4
Luigi,Langlais,llanglais1@prnewswire.com,Biology,5,true,6
Gardener,Studdeard,gstuddeard2@mit.edu,Accounting,5,false,4
Tremaine,Byre,tbyre3@upenn.edu,Political Science,3,true,1
Joanna,Muncey,jmuncey4@berkeley.edu,Data Science,5,false,1
Cleveland,Arend,carend5@aol.com,Biology,1,true,2
Julietta,Kennedy,jkennedy6@umich.edu,Data Science,4,true,6
Nonnah,Maton,nmaton7@is.gd,Theatre,4,true,4
Wynny,Ledamun,wledamun8@hao123.com,Theatre,3,false,3
Timothee,Laidel,tlaidel9@apple.com,Industrial Engineering,5,false,4
Caresse,Mackley,cmackleya@imageshack.us,Industrial Engineering,5,false,4
Micki,Woodrooffe,mwoodrooffeb@apache.org,Biomedical Engineering,3,true,3
Portie,Boram,pboramc@canalblog.com,Architecture,4,true,6
Norrie,Immings,nimmingsd@bbb.org,Neuroscience,2,false,5
Gizela,Jedrychowski,gjedrychowskie@ustream.tv,Dance,2,false,3
Calhoun,Lievesley,clievesleyf@parallels.com,Neuroscience,5,true,5
Florida,Coster,fcosterg@mail.ru,Neuroscience,3,true,5
Weidar,Van den Oord,wvandenoordh@kickstarter.com,International Business,1,false,3
Lebbie,Balls,lballsi@example.com,Industrial Engineering,1,false,5
Eduardo,Lintin,elintinj@ezinearticles.com,Political Science,1,false,Null
Aubree,Djurdjevic,adjurdjevick@tinyurl.com,Chemistry,1,false,5
Shaina,Mant,smantl@gov.uk,Neuroscience,5,false,Null
Andra,Yu,ayum@etsy.com,Theatre,4,true,Null
Jobie,Worland,jworlandn@bravesites.com,Accounting,4,true,Null
Christiano,Foxall,cfoxallo@feedburner.com,Fashion,3,true,3
Oliviero,Spawton,ospawtonp@cloudflare.com,Criminal Justice,1,false,3
Philippine,Marusyak,pmarusyakq@blinklist.com,International Business,5,false,2
Boone,Morde,bmorder@craigslist.org,Computer Engineering,1,true,1
Julee,Mulryan,jmulryans@senate.gov,Data Science,5,true,2
Renaldo,Brabban,rbrabbant@de.vu,Mechanical Engineering,4,true,1
Allx,Greene,agreeneu@wufoo.com,Criminal Justice,4,true,4
Farah,Nulty,fnultyv@jalbum.net,Accounting,5,false,4
Cassius,Piscot,cpiscotw@amazon.com,Dance,4,false,1
Marga,Bernardino,mbernardinox@arstechnica.com,International Business,2,false,4
Tallulah,Corbie,tcorbiey@addtoany.com,Accounting,3,true,5
Hieronymus,Daly,hdalyz@tumblr.com,Theatre,2,false,4
Patrica,Goadsby,pgoadsby10@goo.gl,Chemistry,4,false,5
Alina,Couche,acouche11@stanford.edu,Fashion,2,false,6
Becka,Croneen,bcroneen12@guardian.co.uk,International Business,1,false,6
Wenda,Ghidini,wghidini13@house.gov,Computer Engineering,4,false,6
